DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2011-2012 OVERALL GRADE,2011-2012 OVERALL SCORE,2011-12 OVERALL PERCENTILE,2011-2012 PROGRESS CATEGORY SCORE,2011-2012 PROGRESS GRADE,2011-2012 PERFORMANCE CATEGORY SCORE,2011-2012 PERFORMANCE GRADE,2011-2012 ENVIRONMENT CATEGORY SCORE,2011-2012 ENVIRONMENT GRADE,2011-2012 COLLEGE AND CAREER READINESS SCORE,2011-2012 COLLEGE AND CAREER READINESS GRADE,2011-2012 ADDITIONAL CREDIT,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
75K036,75,P.S. 36,Johanna Schneider,D75,Middle,,C,57.0,,27.8,C,14.0,C,9.9,B,,,5.3,A,C
75K053,75,P.S. K053,Heather Leykam,D75,Middle,,A,79.7,,37.0,B,22.4,A,15.0,A,,,5.2,A,B
75K140,75,P.S. K140,Roderick Palton,D75,K-8,,D,37.7,,22.4,D,8.0,F,2.9,F,,,4.4,F,D
75K368,75,P.S. 368,Joycelyn Nedd,D75,Middle,,F,27.1,,10.9,F,7.9,D,5.8,D,,,2.5,B,D
75K369,75,P.S. K369 - Coy L. Cox School,Rudy Giuliani,D75,K-8,,C,50.1,,25.0,C,10.1,D,9.5,B,,,5.5,B,B
75K372,75,P.S. 372 -The Children's School,Arthur Mattia,D75,Elementary,,A,91.1,,51.5,A,21.5,A,12.2,A,,,5.9,A,A
75K771,75,P.S. K771,Denise D'anna,D75,K-8,,A,75.8,,38.0,B,21.0,A,12.5,A,,,4.3,B,A
75M094,75,P.S. M094,Ronnie Shuster,D75,Elementary,,C,62.3,,41.6,B,12.7,F,4.7,F,,,3.3,D,C
75M169,75,P.S. M169 - Robert F. Kennedy,Susan Finn,D75,Middle,,B,75.8,,50.2,A,15.0,B,6.3,D,,,4.3,B,D
75M811,75,P.S. M811 - Mickey Mantle School,Barry Daub,D75,Elementary,,C,64.1,,29.9,F,13.0,F,15.0,A,,,6.2,C,F
75Q004,75,P.S. Q004,Marcy Berger,D75,Elementary,,D,60.7,,30.9,F,13.4,F,9.8,B,,,6.6,A,A
75Q009,75,P.S. 009,Robert Wojnarowski,D75,K-8,,B,57.4,,30.3,C,13.3,C,8.9,B,,,4.9,A,B
75Q075,75,Robert E. Peary School,Brenda Gallashaw,D75,K-8,,A,77.5,,40.4,B,20.7,A,10.3,A,,,6.1,A,C
75Q224,75,P.S. Q224,Desmond Park,D75,Elementary,,B,66.6,,35.9,D,15.8,C,9.1,D,,,5.8,B,B
75Q256,75,P.S. Q256,Oswaldo Roman,D75,Middle,,A,87.5,,50.4,A,19.6,A,11.4,B,,,6.1,A,A
75R025,75,South Richmond High School I.S./P.S. 25,James Mckeon,D75,Middle,,B,68.8,,34.4,C,16.3,B,12.3,A,,,5.7,C,B
75R373,75,P.S. R373,Ilene Goldstein- Harn,D75,Elementary,,B,71.1,,41.1,B,12.8,F,10.7,B,,,6.5,A,B
75X010,75,P.S. X010,Barbara Hanson,D75,Elementary,,A,79.8,,46.9,B,17.0,B,9.9,B,,,6.0,B,A
75X017,75,P.S. X017,Robin Cohen,D75,K-8,,A,83.8,,53.3,A,16.7,B,7.0,C,,,6.8,A,A
75X168,75,P.S. 168,Rosa Nieves Greene,D75,K-8,,C,45.7,,17.5,F,11.9,C,11.7,A,,,4.6,C,D
75X186,75,P186X Walter J. Damrosch School,Ava Cara Kaplan,D75,K-8,,B,61.0,,27.2,C,14.0,B,15.0,A,,,4.8,C,F
75X188,75,P.S. X188,Shanie Johnson,D75,Middle,,B,61.1,,34.2,C,13.7,C,10.1,B,,,3.1,D,C
75X352,75,The Vida Bogart School for All Children,Lourdes Mendez,D75,Elementary,,B,78.1,,49.6,A,15.1,D,8.4,F,,,5.0,C,B
75X723,75,P.S. 723,Christine Walsh,D75,K-8,,B,60.4,,31.2,C,11.5,C,11.7,A,,,6.0,B,C
03M185,03,P.S. 185 John M. Langston,Jane Murphy,EC,K-2,61.11,B,41.5,,14.2,C,14.6,B,9.7,B,,,3.0,C,C
04M112,04,P.S. 112 Jose Celso Barbosa,Eileen Reiter,EC,K-2,63.85,B,42.6,,16.5,C,11.1,C,8.8,B,,,6.2,A,B
06M178,06,Professor Juan Bosch Public School,Deirdre Budd,EC,K-2,54.84,C,38.5,,13.8,C,7.1,F,11.2,B,,,6.3,B,B
09X088,09,P.S. X088 - S. Silverstein Little Sparrow School,Melinda Hyer,EC,K-3,67.30,B,47.1,,17.0,B,16.1,B,10.1,B,,,3.9,B,B
09X170,09,P.S. 170,Nancy Ramos,EC,K-2,59.63,B,41.5,,12.1,C,13.5,C,12.9,A,,,3.0,B,B
09X236,09,P.S. 236 Langston Hughes,Beverly Ellis,EC,K-2,67.98,C,36.3,,12.8,C,9.7,C,8.9,B,,,4.8,C,B
09X449,09,GRANT AVENUE ELEMENTARY SCHOOL,Kristin Erat,EC,K-3,65.17,B,48.5,,16.4,C,16.5,B,12.7,A,,,2.9,.,.
10X023,10,P.S. 023 The New Children's School,Shirley Torres,EC,K-3,73.20,C,38.5,,15.7,C,7.7,F,9.2,B,,,5.8,B,C
10X207,10,P.S. 207,Maria Rosado,EC,K-2,63.02,B,41.2,,15.8,C,13.2,C,7.9,C,,,4.2,C,C
10X209,10,P.S. 209,Anne Keegan,EC,K-2,67.47,A,60.8,,22.0,B,20.3,A,14.4,A,,,4.1,B,A
11X169,11,BAYCHESTER ACADEMY,Cristine Vaughan,EC,K-3,54.07,C,29.3,,7.6,F,10.0,C,10.4,B,,,1.3,.,.
17K249,17,P.S. 249 The Caton,Ms. Elisa Brown,EC,K-3,57.87,A,67.0,,25.5,A,23.3,A,12.9,A,,,5.3,A,A
20K682,20,THE ACADEMY OF TALENTED SCHOLARS,Josephin Sportella-Giust,EC,K-3,18.77,D,23.2,,7.0,F,7.0,F,7.8,C,,,1.4,.,.
20K686,20,BROOKLYN SCHOOL OF INQUIRY,Donna Taylor,EC,K-3,8.62,A,61.0,,24.4,A,22.6,A,12.4,A,,,1.5,.,.
22K361,22,P.S. 361 East Flatbush Early Childhood School,Dianne S. Martin,EC,K-2,58.44,D,22.5,,6.8,F,5.9,F,7.4,C,,,2.3,C,C
24Q007,24,P.S. 007 Louis F. Simeone,Sara Tucci,EC,K-3,35.55,B,43.4,,16.3,C,16.6,B,6.4,C,,,4.1,B,B
24Q028,24,P.S. 28 - The Thomas Emanuel Early Childhood Cen,Laura Pessutti,EC,K-2,59.84,B,50.6,,18.0,B,12.3,C,13.1,A,,,7.2,B,A
24Q305,24,Learners and Leaders,Lynn Botfeld,EC,K-3,58.42,B,47.6,,15.0,C,18.1,B,10.8,B,,,3.7,C,.
25Q130,25,P.S. 130,Michelle Contratti,EC,K-3,17.92,A,66.6,,28.9,A,24.8,A,9.5,B,,,3.4,A,A
25Q242,25,P.S. 242 Leonard P. Stavisky Early Childhood Sch,Patricia Costa,EC,K-3,27.47,B,54.3,,20.1,B,20.4,A,8.2,C,,,5.6,A,A
25Q244,25,The Active Learning Elementary School,Robert Groff,EC,K-3,25.76,A,65.5,,25.6,A,22.8,A,10.0,B,,,7.1,.,.
28Q182,28,P.S. 182 Samantha Smith,Andrew Todd Topol,EC,K-3,46.18,C,25.4,,7.6,F,7.1,F,6.7,C,,,4.0,C,D
28Q303,28,The Academy for Excellence through the Arts,Barbara Leto,EC,K-3,13.68,A,68.2,,29.0,A,22.9,A,14.4,A,,,1.9,.,.
29Q251,29,P.S. 251 Queens,Edna Loncke,EC,K-3,49.08,B,39.3,,15.0,C,14.4,B,7.1,C,,,2.8,B,C
30Q222,30,P.S. Q222 - Fire Fighter Christopher A. Santora,Yvonne Marrero,EC,K-2,51.07,A,59.5,,24.7,A,19.6,B,9.4,B,,,5.8,B,A
30Q228,30,P.S. 228 Early Childhood Magnet School of the Ar,Olga Guzman,EC,K-2,63.11,A,59.1,,20.1,B,18.6,B,14.1,A,,,6.3,A,A
84K379,84,Explore Excel Charter School,Ethan Mitnick,EC,K-3,52.44,,.,,.,,.,,.,,,,.,.,.
84K711,84,Leadership Preparatory Brownsville Charter Schoo,Darcy Richie,EC,K-3,56.88,B,40.1,,12.0,C,12.7,C,13.8,A,,,1.6,.,.
84K712,84,Excellence Girls Charter School,Celestina De La Garza,EC,K-3,50.08,A,55.8,,18.9,B,22.0,A,14.4,A,,,0.5,.,.
84K734,84,The Ethical Community Charter School (TECCS),Ann Mooney,EC,K-3,53.62,C,23.9,,6.2,F,7.7,F,8.9,B,,,1.1,.,.
84K737,84,Brownsville Ascend Charter School,Kelly Bowers/Angela Beal,EC,K-3,52.68,B,46.5,,16.5,C,17.5,B,10.8,B,,,1.7,.,.
84K746,84,Hebrew Language Academy Charter School,Laura Silver,EC,K-3,32.27,C,24.8,,7.6,F,12.9,C,2.7,F,,,1.6,.,.
84K797,84,New Hope Academy Charter School,Keishea Allen,EC,K-3,52.66,C,38.8,,13.5,C,14.6,B,9.6,B,,,1.1,.,.
84M483,84,New York French American Charter School,Stephen V. Peters,EC,K-3,39.40,C,24.8,,7.8,F,11.4,C,3.5,F,,,2.1,.,.
84Q321,84,Growing Up Green Charter School,Matthew Greenberg,EC,K-3,32.89,C,29.0,,7.0,F,9.8,C,10.3,B,,,1.9,.,.
84X461,84,Metropolitan Lighthouse Charter School,Courtney Russell,EC,K-3,55.85,C,35.1,,12.2,C,10.9,C,9.0,B,,,3.0,.,.
84X487,84,Girls Preparatory Charter School of the Bronx,Josie Carbone,EC,K-3,58.02,C,36.4,,11.4,C,11.0,C,12.8,A,,,1.2,.,.
84X491,84,Academic Leadership Charter School,Norma Hurwitz,EC,K-3,57.22,A,58.6,,22.9,B,19.3,B,11.5,B,,,4.8,.,.
01M015,01,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary,73.38,C,39.0,14.6,14.7,F,10.6,C,11.3,A,,,2.4,C,C
01M019,01,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,47.89,B,55.9,55.6,35.4,B,8.9,C,8.0,B,,,3.6,B,C
01M020,01,P.S. 020 Anna Silver,James Lee,EMS,Elementary,52.38,C,40.2,16.6,19.6,D,7.6,D,10.3,A,,,2.7,B,A
01M034,01,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,K-8,67.83,A,67.5,82.5,35.4,B,19.3,A,8.4,B,,,4.4,C,B
01M063,01,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary,59.43,B,59.3,62.6,32.7,B,13.3,B,8.5,B,,,4.8,B,B
01M064,01,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,60.73,C,48.9,37.2,26.4,C,9.2,C,9.2,B,,,4.1,C,C
01M110,01,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,36.31,D,34.1,7.9,13.2,F,13.0,B,6.3,C,,,1.6,C,D
01M134,01,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,52.29,C,38.0,13.1,19.8,D,10.4,C,5.3,C,,,2.5,C,B
01M137,01,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,61.67,C,44.3,23.9,30.2,B,6.8,D,2.7,F,,,4.6,F,C
01M140,01,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,64.64,C,49.9,37.5,25.7,C,12.5,C,8.1,B,,,3.6,D,B
01M142,01,P.S. 142 Amalia Castro,Rhonda Levy,EMS,Elementary,62.70,B,53.8,50.3,27.0,C,13.0,B,9.8,A,,,3.9,C,B
01M184,01,P.S. 184m Shuang Wen,"Iris Chiu, I.A.",EMS,K-8,19.30,A,69.1,83.1,38.6,A,21.4,A,6.4,C,,,2.7,A,A
01M188,01,P.S. 188 The Island School,Mary Pree,EMS,K-8,71.58,A,65.4,77.5,31.5,B,17.7,A,11.5,A,,,4.7,A,C
01M292,01,Henry Street School for International Studies,Erin Mcmahon,EMS,Middle,1.82,C,39.0,12.7,23.2,C,7.4,D,5.7,C,,,2.7,C,C
01M301,01,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,2.04,B,62.3,68.2,32.2,B,17.9,A,8.6,B,,,3.6,B,C
01M315,01,The East Village Community School,Robin Williams,EMS,Elementary,31.48,B,61.3,67.4,30.5,B,19.3,A,9.4,B,,,2.1,C,C
01M332,01,University Neighborhood Middle School,Laura Peynado,EMS,Middle,1.94,B,52.8,44.8,24.5,C,12.0,C,13.0,A,,,3.3,C,B
01M345,01,"Collaborative Academy of Science, Technology, &",Judith De Los Santos,EMS,Middle,2.38,C,45.7,24.9,23.4,C,16.1,B,2.9,F,,,3.3,B,B
01M361,01,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,32.59,C,38.3,14.1,19.1,D,6.5,D,10.1,A,,,2.6,B,C
01M363,01,Neighborhood School,Milo Novelo,EMS,Elementary,31.97,D,34.9,9.2,10.8,F,12.4,B,8.5,B,,,3.1,C,C
01M364,01,Earth School,Alison Gail Hazut,EMS,Elementary,31.56,C,48.0,35.6,19.5,D,12.7,B,11.7,A,,,4.1,C,D
01M378,01,School for Global Leaders,Carry Chan,EMS,Middle,2.33,B,64.3,72.1,32.1,B,19.8,A,8.4,B,,,4.0,B,B
01M450,01,East Side Community School,Mark Federman,EMS,Middle,2.17,A,74.4,87.9,35.9,B,22.0,A,11.8,A,,,4.7,A,A
01M539,01,"New Explorations into Science, Technology and Ma",Dr. Olga Livanis,EMS,K-8,10.44,A,70.3,84.4,38.5,A,23.9,A,6.2,C,,,1.6,A,A
01M839,01,Tompkins Square Middle School,Sonhando Estwick,EMS,Middle,2.67,A,79.3,92.3,41.2,A,23.2,A,11.0,A,,,3.9,B,A
02M001,02,P.S. 001 Alfred E. Smith,Amy Hom,EMS,Elementary,37.87,C,48.3,36.2,26.1,C,13.2,B,6.5,C,,,2.5,B,B
02M002,02,P.S. 002 Meyer London,Brett Gustafson,EMS,Elementary,46.15,A,72.0,88.9,40.8,A,18.5,A,8.7,B,,,4.0,A,A
