DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,"2012-2013
PERFORMANCE GRADE",2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
30Q152,30,Q152 - P.S. 152 Gwendoline N. Alleyne School,Vincent Vitolo,EMS,Elementary,A,60.4,75.7,34.7,B,14.8,B,8.5,B,0,0,2.3,A,A,A
21K253,21,P.S. 253,Lisa Speroni,EMS,Elementary,A,61.1,76.4,28.8,B,15.2,B,12.8,A,0,0,4.3,A,A,A
15K131,15,P.S. 131 Brooklyn,Ruth Quiles,EMS,Elementary,A,61.2,76.7,36.7,A,13.7,B,8,B,0,0,2.8,A,A,A
30Q228,30,P.S. 228 Early Childhood Magnet School of the Ar,Olga Guzman,EC,K-2,A,61.6,0,22.7,B,19.6,A,13,A,0,0,6.3,A,A,A
26Q041,26,P.S. 041 Crocheron,Sari Latto,EMS,Elementary,A,61.7,77.9,29.1,B,18.8,A,11.2,A,0,0,2.6,A,A,A
14K380,14,P.S. 380 John Wayne Elementary,Diane Vitolo,EMS,Elementary,A,62.7,80,26.1,C,20.5,A,13.2,A,0,0,2.8,A,A,A
31R008,31,P.S. 8 Shirlee Solomon,Lisa Esposito,EMS,Elementary,A,62.7,80,25.4,C,20,A,12,A,0,0,5.3,A,A,A
14K257,14,P.S. 257 John F. Hylan,Brian Leavy-Devale,EMS,Elementary,A,63.5,80.5,27.7,C,17.8,A,13.3,A,0,0,4.6,A,A,A
10X307,10,P.S. X307 - Eames Place,Yolanda Valez,EMS,Elementary,A,64.2,81.2,26.9,C,22.2,A,11.3,A,0,0,3.8,A,A,A
28Q196,28,P.S. 196 Grand Central Parkway,Susan Migliano,EMS,Elementary,A,65,82.5,34.6,B,19.8,A,9.1,A,0,0,1.5,A,A,A
27Q060,27,P.S. 060 Woodhaven,Frank Desario,EMS,Elementary,A,65.1,82.8,37.3,A,18.4,A,4.8,C,0,0,4.6,A,A,A
75K372,75,P.S. 372 -The Children's School,Arthur Mattia,D75,Elementary,A,65.2,0,29.7,B,20.7,A,14.8,A,0,0,0,A,A,A
75Q256,75,P.S. Q256,Oswaldo Roman,D75,Middle,A,66.3,0,37.8,A,14.2,B,14.3,A,0,0,0,A,A,A
26Q213,26,P.S. 213 The Carl Ullman School,Kathleen Driscoll,EMS,Elementary,A,66.5,85.1,34.8,B,17.4,A,10.9,A,0,0,3.4,A,A,A
20K247,20,P.S. 247 Brooklyn,Christopher E. Ogno,EMS,Elementary,A,66.8,85.9,31.9,B,22.3,A,9.4,A,0,0,3.2,A,A,A
10X056,10,P.S. 056 Norwood Heights,Priscilla Sheeran,EMS,Elementary,A,67.7,87.5,40.6,A,14.1,B,8.7,B,0,0,4.3,A,A,A
27Q254,27,P.S. 254,Naomi Drouillard,EMS,Elementary,A,68.3,88.5,35.2,B,20.3,A,9.6,A,0,0,3.2,A,A,A
25Q209,25,P.S. 209 Clearview Gardens,Mary Mcdonnell,EMS,Elementary,A,68.8,89,36.2,A,17.7,A,11.3,A,0,0,3.6,A,A,A
