Farmers Market Name,Additional Information,Street Address,Street Address Edit,Borough,State,Zip Code,Latitude,Longitude
NY/NJ Port Authority Greenmarket,"
Program Website: http://www.grownyc.org.","8th Ave & W 42nd St, inside bus terminal",8th Ave & W 42nd St,Manhattan,NY,10019,41,-74
PS 11 Farm Market,Spend $5 in EBT and get a $2 Health Buck coupon.,21st St bet 8th & 9th Aves,21st St & 8th Ave,Manhattan,NY,10011,41,-74
Rockefeller Center Greenmarket,"
Program Website: http://www.grownyc.org.",Rockefeller Plaza at 50th St,W 50th St & Rockefeller Plaza,Manhattan,NY,10112,41,-74
South Village Farmers' Market,,6th Ave at Carmine St,6th Ave & Carmine St,Manhattan,NY,10014,41,-74
St. Mark's Church Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",E 10th St & 2nd Ave,E 10th St & 2nd Ave,Manhattan,NY,10003,41,-74
Staten Island Ferry/Whitehall Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.","4 South St, inside Ferry Terminal Bldg",4 South St,Manhattan,NY,10004,41,-74
Stuyvesant Town Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",14th St loop & Ave A,14th St & Ave A,Manhattan,NY,10009,41,-74
Tompkins Square Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",E 7th St & Ave A,E 7th St & Ave A,Manhattan,NY,10009,41,-74
Tribeca Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Greenwich & Chambers Sts,Greenwich & Chambers Sts,Manhattan,NY,10282,41,-74
Culinary Kids Garden Farmers' Market I,Spend $5 in EBT and get a $2 Health Buck coupon.,Seagirt Blvd & Beach 31st St,Seagirt Blvd & Beach 31st St,Queens,NY,11691,41,-74
Culinary Kids Garden Farmers' Market II,Spend $5 in EBT and get a $2 Health Buck coupon.,Central Ave at Beach 20th St,Central Ave at Beach 20th St,Queens,NY,11691,41,-74
Jamaica Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,"90-40 160th St, off Jamaica Ave",90-40 160th St,Queens,NY,11432,41,-74
Joseph Addabbo Family Health Center's Farmers' Market,,6200 Beach Channel Dr,6200 Beach Channel Dr,Queens,NY,11692,41,-74
Tucker Square Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",W 66th St & Columbus Ave,W 66th St & Columbus Ave,Manhattan,NY,10023,41,-74
Union Square Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org. Open year round.",Broadway ,E 17th St & Broadway,Manhattan,NY,10003,41,-74
Washington Heights 175th Street Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",175th St bet Broadway & Wadsworth Ave,175th St bet Broadway & Wadsworth Ave,Manhattan,NY,10033,41,-74
Astoria Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",31st Ave & 14th St,31st Ave & 14th St,Queens,NY,11106,41,-74
Atlas Park Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Cooper Ave & 80th St,Cooper Ave & 80th St,Queens,NY,11379,41,-74
Corona Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Roosevelt Ave & 103rd St,Roosevelt Ave & 103rd St,Queens,NY,11368,41,-74
Douglaston Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.","235th St & 41st Ave, at the LIRR Station",235th St & 41st Ave,Queens,NY,11363,41,-74
Elmhurst Hospital Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",41st Ave bet 80th & 81st Sts,41st Ave & 81st St,Queens,NY,11373,41,-74
Harvest Home Roy Wilkins Park Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.harvesthomefm.org",Merrick Blvd bet 221st & 222nd Sts,Merrick Blvd & 222nd St,Queens,NY,11413,41,-74
Jackson Heights Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",34th Ave bet 77th & 78th Sts,34th Ave & 78th St,Queens,NY,11372,41,-74
Pomonok Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,"67-09 Kissena Blvd, at QCH Pomonok Center",67-09 Kissena Blvd,Queens,NY,11367,41,-74
Queens Botanical Garden Farmers' Market,"
Program Website: http://www.communitymarkets.biz",Dahlia Ave off Main St,Dahlia Ave & Main St,Queens,NY,11355,41,-74
Ridgewood Youthmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org/youthmarket",Cypress Ave bet Myrtle & Putnam Aves,Cypress Ave & Putnam Ave,Queens,NY,11385,41,-74
Socrates Sculpture Park Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Vernon Blvd & Broadway,Vernon Blvd & Broadway,Queens,NY,11106,41,-74
