ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Community School Sup Name,Cluster Name,Cluster Location Code,Cluster Leader Name,Cluster Leader Title,Cluster Leader Phone,Network Location Code,Network Name,Network Leader,Network Leader Phone,SATIF Code,SATIF Superintendent,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,Operational Network Location Code,Operational Network Name,Operational Network Manager Name,Operational Network Manager Phone,boroughCode,borough,streetAddress,postalCode,title,entityTitle,addressLocality,latitude,longitude,loc,@context,@type,@id
01M015,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1904,Open,M015,333 EAST 4 STREET,MANHATTAN,NY,10009,IRENE SANCHEZ,PRINCIPAL,212-228-8730,212-477-0931,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N203,CHILDREN FIRST NETWORK 203,"Feigelson, Daniel",212-356-3875,AF27,,,,,W203,Operational Network 203,"Feigelson, Daniel",212-356-3875,M,Manhattan,333 East 4th Street,10009,P.S. 015 Roberto Clemente,p_s_015_roberto_clemente,Manhattan,40.72170759999999,-73.9788702,"[-73.9788702,40.72170759999999]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_015_roberto_clemente
01M019,M019,P.S. 019 Asher Levy,310100010019,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1956,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,JACQUELINE FLANAGAN,PRINCIPAL,212-533-5340,212-673-1477,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 04,CL04,"GROLL, CHRISTOP",Cluster Leader,917-822-9756,N406,CHILDREN FIRST NETWORK 406,"LITRICO, SANDRA",718-935-4261,AF09,,,,,W406,Operational Network 406,"LITRICO, SANDRA",718-935-4261,M,Manhattan,185 1st Avenue,10003,P.S. 019 Asher Levy,p_s_019_asher_levy,Manhattan,40.7296049,-73.9836633,"[-73.9836633,40.7296049]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_019_asher_levy
01M020,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1963,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,JAMES LEE,PRINCIPAL,212-254-9577,212-254-3526,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N203,CHILDREN FIRST NETWORK 203,"Feigelson, Daniel",212-356-3875,AF27,,,,,W203,Operational Network 203,"Feigelson, Daniel",212-356-3875,M,Manhattan,166 Essex Street,10002,P.S. 020 Anna Silver,p_s_020_anna_silver,Manhattan,40.7213081,-73.98669919999999,"[-73.98669919999999,40.7213081]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_020_anna_silver
01M034,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1955,Open,M034,730 EAST 12 STREET,MANHATTAN,NY,10009,Rosemarie Gonzalez,PRINCIPAL,212-228-4433,212-353-1973,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N206,CHILDREN FIRST NETWORK 206,"Cordova, Ada",917-339-1488,AF28,,,,,W206,Operational Network 206,"Cordova, Ada",917-339-1488,M,Manhattan,730 East 12th Street,10009,P.S. 034 Franklin D. Roosevelt,p_s_034_franklin_d_roosevelt,Manhattan,40.726023,-73.97504099999999,"[-73.97504099999999,40.726023]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_034_franklin_d_roosevelt
01M063,M063,The STAR Academy - P.S.63,310100010063,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1905,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,DARLENE CAMERON,PRINCIPAL,212-674-3180,212-420-9018,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N206,CHILDREN FIRST NETWORK 206,"Cordova, Ada",917-339-1488,AF28,,,,,W206,Operational Network 206,"Cordova, Ada",917-339-1488,M,Manhattan,121 East 3rd Street,10009,The STAR Academy - P.S.63,the_star_academy_p_s_63,Manhattan,40.7239035,-73.9859185,"[-73.9859185,40.7239035]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/the_star_academy_p_s_63
01M064,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1954,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,Marlon L. Hosang,PRINCIPAL,212-673-6510,212-477-2369,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 04,CL04,"GROLL, CHRISTOP",Cluster Leader,917-822-9756,N406,CHILDREN FIRST NETWORK 406,"LITRICO, SANDRA",718-935-4261,AF09,,,,,W406,Operational Network 406,"LITRICO, SANDRA",718-935-4261,M,Manhattan,600 East 6th Street,10009,P.S. 064 Robert Simon,p_s_064_robert_simon,Manhattan,40.7244399,-73.98161809999999,"[-73.98161809999999,40.7244399]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_064_robert_simon
01M110,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1902,Open,M110,285 DELANCY STREET,MANHATTAN,NY,10002,KAREN FEUER,PRINCIPAL,212-674-2690,212-475-5835,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 04,CL04,"GROLL, CHRISTOP",Cluster Leader,917-822-9756,N406,CHILDREN FIRST NETWORK 406,"LITRICO, SANDRA",718-935-4261,AF09,,,,,W406,Operational Network 406,"LITRICO, SANDRA",718-935-4261,M,Manhattan,285 Delancey Street,10002,P.S. 110 Florence Nightingale,p_s_110_florence_nightingale,Manhattan,40.715295,-73.979925,"[-73.979925,40.715295]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_110_florence_nightingale
01M134,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1960,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,LORETTA CAPUTO,PRINCIPAL,212-673-4470,212-475-6142,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N206,CHILDREN FIRST NETWORK 206,"Cordova, Ada",917-339-1488,AF28,,,,,W206,Operational Network 206,"Cordova, Ada",917-339-1488,M,Manhattan,293 East Broadway,10002,P.S. 134 Henrietta Szold,p_s_134_henrietta_szold,Manhattan,40.7145415,-73.9837187,"[-73.9837187,40.7145415]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_134_henrietta_szold
01M137,M137,P.S. 137 John L. Bernstein,310100010137,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1966,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,MELISSA RODRIGUEZ,PRINCIPAL,646-602-2140,646-602-2146,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N203,CHILDREN FIRST NETWORK 203,"Feigelson, Daniel",212-356-3875,AF27,,,,,W203,Operational Network 203,"Feigelson, Daniel",212-356-3875,M,Manhattan,293 East Broadway,10002,P.S. 137 John L. Bernstein,p_s_137_john_l_bernstein,Manhattan,40.7145415,-73.9837187,"[-73.9837187,40.7145415]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_137_john_l_bernstein
01M140,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1959,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,ESTEBAN BARRIENTOS,PRINCIPAL,212-677-4680,212-677-3907,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 04,CL04,"GROLL, CHRISTOP",Cluster Leader,917-822-9756,N406,CHILDREN FIRST NETWORK 406,"LITRICO, SANDRA",718-935-4261,AF15,,,,,W406,Operational Network 406,"LITRICO, SANDRA",718-935-4261,M,Manhattan,123 Ridge Street,10002,P.S. 140 Nathan Straus,p_s_140_nathan_straus,Manhattan,40.7192995,-73.9830394,"[-73.9830394,40.7192995]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_140_nathan_straus
