the_geom,ats_code,boro,boronum,loc_code,schoolname,sch_type,managed_by,geo_distri,admin_dist,address,state_code,zip,principal,prin_ph,fax,grades,city,cartodb_id,created_at,updated_at
0101000020E610000017328AB0E08052C06D8F992DC55B4440,02M089      ,M,1,M089,P.S. 89,Elementary,1,2,2,201 WARREN STREET,NY,10282,VERONICA NAJJAR,212-571-5659,212-571-0739,"PK,0K,01,02,03,04,05,SE",MANHATTAN,452,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000022AD4A998D6852C0BD7FFEC7575A4440,,O,0,OAWF,The Academy Charter School,Elementary,2,0,84,94 Fulton Avenue,NY,11550,,,,"0K,01,02,03,04,05",Hempstead,1557,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000057F7C7C4FD7852C083DD7207076B4440,12X511,X,2,X511,Bronx Envision Academy,High school,1,12,12,1619 BOSTON ROAD,NY,10460,Emily Shu,718-935-3505,,"09,10,11,12,SE",BRONX,1679,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000041AC55B4147B52C0396566A22F624440,30Q234      ,Q,4,Q234,P.S. 234,Elementary,1,30,30,30-15 29 STREET,NY,11102,THEA PALLOS,718-932-5650,718-932-5398,"PK,0K,01,02,03,04,05,SE",QUEENS,899,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000459ADA9F87152C0E24C9712BF624440,26Q495      ,Q,4,Q495,BAYSIDE HIGH SCHOOL,High school,1,26,26,32-24 CORP KENNEDY STREET,NY,11361,MICHAEL ATHY,718-229-7600,718-423-9566,"09,10,11,12,SE",QUEENS,958,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000C86AB7A0257652C0FE7679BF9B724440,11X087      ,X,2,X087,P.S. 087 BRONX,Elementary,1,11,11,1935 BUSSING AVENUE,NY,10466,DONNA ANAMAN,718-324-5188,718-325-1148,"0K,01,02,03,04,05,SE",BRONX,1125,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000007A7DFD57767952C0C6CF70FAC06B4440,09X276      ,X,2,X276,LEADERSHIP INSTITUTE,High school,1,9,9,1701 FULTON AVENUE,NY,10457,MARTA COLON,718-299-7490,NULL,"09,10,11,12,SE",BRONX,1249,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000218EBFC5C08052C062D40B7717534440,15K001      ,K,2,K001,P.S. 001 THE BERGEN,Elementary,1,15,15,309 47 STREET,NY,11220,Jennifer Eusanio,718-567-7661,718-567-9771,"PK,0K,01,02,03,04,05,SE",BROOKLYN,1,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000613FBCC1E07C52C0867AD39705544440,17K002      ,K,2,K002,M.S. 002,Junior High-Intermediate-Middle,1,17,17,655 PARKSIDE AVENUE,NY,11226,ADRIENNE SPENCER,718-462-6992,718-284-7717,"06,07,08,SE",BROOKLYN,2,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000093C54281647E52C07170F45E414C4440,21K095      ,K,2,K095,P.S. 095 THE GRAVESEND,K-8,1,21,21,345 VAN SICKLEN STREET,NY,11223,Janet Ndzibah,718-449-5050,718-449-3047,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,3,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000214916C8087F52C000E4F7F7CB4D4440,21K096      ,K,2,K096,I.S. 096 SETH LOW,Junior High-Intermediate-Middle,1,21,21,99 AVENUE P,NY,11204,Denise Sandra Levinsky,718-236-1344,718-236-2397,"06,07,08,SE",BROOKLYN,4,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
