['201 WARREN STREET', 'MANHATTAN', {u'lat': 40.7168673, u'lng': -74.01362259999999}]
['1619 BOSTON ROAD', 'BRONX', {u'lat': 40.8358209, u'lng': -73.89098330000002}]
['30-15 29 STREET', 'QUEENS', {u'lat': 40.76703759999999, u'lng': -73.92319169999999}]
['32-24 CORP KENNEDY STREET', 'QUEENS', {u'lat': 40.771101, u'lng': -73.78021}]
['1935 BUSSING AVENUE', 'BRONX', {u'lat': 40.8950748, u'lng': -73.84607}]
['1701 FULTON AVENUE', 'BRONX', {u'lat': 40.8421053, u'lng': -73.89746989999999}]
['309 47 STREET', 'BROOKLYN', {u'lat': 40.6491863, u'lng': -74.01252389999999}]
['655 PARKSIDE AVENUE', 'BROOKLYN', {u'lat': 40.6561715, u'lng': -73.9515718}]
['345 VAN SICKLEN STREET', 'BROOKLYN', {u'lat': 40.5957112, u'lng': -73.9751735}]
['99 AVENUE P', 'BROOKLYN', {u'lat': 40.607574, u'lng': -73.9844512}]
['1855 STILLWELL AVENUE', 'BROOKLYN', {u'lat': 40.6014251, u'lng': -73.98613}]
['1401 EMMONS AVENUE', 'BROOKLYN', {u'lat': 40.583352, u'lng': -73.9539003}]
['1120 EAST  10 STREET', 'BROOKLYN', {u'lat': 40.621463, u'lng': -73.966022}]
['2951 WEST  3 STREET', 'BROOKLYN', {u'lat': 40.5771094, u'lng': -73.9713956}]
['2360 BENSON AVENUE', 'BROOKLYN', {u'lat': 40.5979087, u'lng': -73.99177820000001}]
['211 72 STREET', 'BROOKLYN', {u'lat': 40.63408099999999, u'lng': -74.0292778}]
['170 GATES AVENUE', 'BROOKLYN', {u'lat': 40.6848318, u'lng': -73.9607226}]
['9115 5 AVENUE', 'BROOKLYN', {u'lat': 40.6184808, u'lng': -74.0287749}]
['1031 59 STREET', 'BROOKLYN', {u'lat': 40.6329321, u'lng': -74.0037181}]
['1328 PUTNAM AVENUE', 'BROOKLYN', {u'lat': 40.6936912, u'lng': -73.91323480000001}]
['1301 8 AVENUE', 'BROOKLYN', {u'lat': 40.662939, u'lng': -73.981201}]
['200 LINWOOD STREET', 'BROOKLYN', {u'lat': 40.681275, u'lng': -73.884339}]
['1001 EAST  45 STREET', 'BROOKLYN', {u'lat': 40.6360037, u'lng': -73.93314889999999}]
['124 MONITOR STREET', 'BROOKLYN', {u'lat': 40.7236058, u'lng': -73.9420286}]
['7115 15 AVENUE', 'BROOKLYN', {u'lat': 40.61958569999999, u'lng': -74.00098750000001}]
